image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0066.png,extras,electric_utility_vehicle,small white utility vehicle,small white utility vehicle.,0.2,0.2,1,0.8126,"[2072.9951171875, 723.0225219726562, 2528.101806640625, 1259.96533203125]",1
frame_0066.png,extras,electric_utility_vehicle,white utility cart,white utility cart.,0.2,0.2,3,0.4608,"[2075.113037109375, 724.2046508789062, 2525.101318359375, 1258.17333984375]",1
frame_0066.png,extras,portable_power_station,portable power station,portable power station.,0.2,0.2,5,0.3584,"[225.06887817382812, 181.80642700195312, 1223.8927001953125, 975.6762084960938]",1
frame_0066.png,extras,portable_power_station,large power bank,large power bank.,0.2,0.2,2,0.6014,"[222.77960205078125, 180.2887420654297, 1234.611083984375, 970.8432006835938]",1
frame_0066.png,extras,portable_power_station,battery box,battery box.,0.2,0.2,0,0.0,,0
frame_0066.png,extras,portable_power_station,power generator box,power generator box.,0.2,0.2,0,0.0,,0
frame_0066.png,extras,portable_power_station,portable battery,portable battery.,0.2,0.2,4,0.3193,"[2079.83935546875, 725.1192016601562, 2523.718017578125, 1254.769287109375]",1
frame_0066.png,extras,portable_power_station,power station,power station.,0.2,0.2,6,0.4108,"[221.37644958496094, 182.95404052734375, 1238.2623291015625, 972.1622924804688]",1
frame_0066.png,extras,portable_power_station,large battery pack,large battery pack.,0.2,0.2,4,0.3391,"[1205.0250244140625, 617.364501953125, 1434.1146240234375, 986.5411987304688]",1
frame_0066.png,extras,rectangular_table,rectangular table,rectangular table.,0.2,0.2,3,0.6768,"[957.893310546875, 929.603271484375, 1106.6959228515625, 1108.934326171875]",1
frame_0066.png,extras,rectangular_table,outdoor table,outdoor table.,0.2,0.2,2,0.6168,"[958.3836669921875, 930.69091796875, 1105.0587158203125, 1108.9649658203125]",1
frame_0066.png,extras,rectangular_table,long rectangular table,long rectangular table.,0.2,0.2,1,0.6371,"[956.03173828125, 927.6664428710938, 1108.206787109375, 1109.8673095703125]",1
frame_0066.png,extras,rectangular_table,picnic table,picnic table.,0.2,0.2,3,0.5497,"[959.53857421875, 929.5254516601562, 1104.7882080078125, 1108.12353515625]",1
frame_0066.png,extras,rectangular_table,folding table,folding table.,0.2,0.2,2,0.5151,"[960.7369995117188, 933.8252563476562, 1103.8211669921875, 1107.7530517578125]",1
frame_0066.png,extras,rectangular_table,work table,work table.,0.2,0.2,2,0.5659,"[957.579833984375, 927.3955688476562, 1105.8931884765625, 1109.116455078125]",1
frame_0066.png,extras,rectangular_table,outdoor wooden table,outdoor wooden table.,0.2,0.2,1,0.7186,"[957.744384765625, 927.6503295898438, 1107.280029296875, 1109.9801025390625]",1
