image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0039.png,production,chair,ALL_GROUP,chair. armless chair.,0.42,0.42,3,0.4412,"[451.8330078125, 891.6113891601562, 572.9456787109375, 1029.9132080078125]",1
frame_0039.png,production,bench,ALL_GROUP,bench. benches. metal bench. metallic bench. waiting bench.,0.38,0.38,0,0.0,,0
frame_0039.png,production,bottle+cup+cardboard box,ALL_GROUP,bottle. dark thermos. thermos. dark thermos bottle. cup. cups. white drinking cup. white drinking cups. cardboard box. brown cardboard. brown cardboard box.,0.28,0.28,1,0.2953,"[1608.7391357421875, 981.854248046875, 1705.82470703125, 1047.06884765625]",1
frame_0039.png,production,water fountain+door,ALL_GROUP,water fountain. metallic fountain. metallic water fountain. door. doors. dark door. dark door surface. elevator sliding door. elevator sliding doors.,0.38,0.38,0,0.0,,0
frame_0039.png,production,emergency exit sign,ALL_GROUP,emergency exit sign. exit sign.,0.5,0.5,0,0.0,,0
frame_0039.png,production,trash bin,ALL_GROUP,trash bin. trash bins. indoor trash bin.,0.45,0.45,0,0.0,,0
frame_0039.png,extras,bench,bench,bench.,0.2,0.2,3,0.2114,"[2.089698314666748, 1753.2525634765625, 431.1803283691406, 1856.9075927734375]",1
frame_0039.png,extras,bench,metal bench,metal bench.,0.2,0.2,4,0.2776,"[3.3142662048339844, 1748.3135986328125, 436.815673828125, 1854.4969482421875]",1
frame_0039.png,extras,bench,waiting bench,waiting bench.,0.2,0.2,3,0.3459,"[2.0711803436279297, 1749.96826171875, 434.6877746582031, 1855.0889892578125]",1
frame_0039.png,extras,bench,sitting bench,sitting bench.,0.2,0.2,5,0.2914,"[2.577967643737793, 1750.70068359375, 432.33514404296875, 1855.9205322265625]",1
frame_0039.png,extras,bench,long bench,long bench.,0.2,0.2,4,0.3594,"[2235.2578125, 1662.739990234375, 2878.27734375, 1853.892333984375]",1
frame_0039.png,extras,bottle,bottle,bottle.,0.18,0.18,1,0.5788,"[1086.2337646484375, 859.5831298828125, 1102.6641845703125, 896.7765502929688]",1
frame_0039.png,extras,bottle,dark thermos bottle,dark thermos bottle.,0.18,0.18,2,0.2836,"[1082.1329345703125, 853.6058349609375, 1107.482177734375, 901.3839721679688]",1
frame_0039.png,extras,bottle,thermos bottle,thermos bottle.,0.18,0.18,1,0.3304,"[1083.755859375, 856.442626953125, 1105.454833984375, 900.5150756835938]",1
frame_0039.png,extras,bottle,water bottle,water bottle.,0.18,0.18,1,0.4348,"[1083.7203369140625, 857.0335693359375, 1105.0126953125, 900.2035522460938]",1
frame_0039.png,extras,bottle,drink bottle,drink bottle.,0.18,0.18,1,0.2935,"[1084.8489990234375, 857.548828125, 1104.588134765625, 899.43896484375]",1
frame_0039.png,extras,bottle,small bottle,small bottle.,0.18,0.18,2,0.5729,"[1082.1500244140625, 854.9378662109375, 1107.08154296875, 901.3545532226562]",1
frame_0039.png,extras,cardboard box,cardboard box,cardboard box.,0.2,0.2,1,0.5251,"[1610.67724609375, 984.6537475585938, 1703.476318359375, 1044.70068359375]",1
