image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0013.png,production,cardboard box,ALL_GROUP,cardboard box. brown cardboard box. cardboard package. shipping box.,0.26,0.26,0,0.0,,0
frame_0013.png,production,chair,ALL_GROUP,chair. folding chair. outdoor chair. plastic chair. armless chair.,0.3,0.3,0,0.0,,0
frame_0013.png,production,traffic cone+prohibition sign,ALL_GROUP,traffic cone. road cone. safety cone. orange cone. construction cone. prohibition sign. no entry sign. red prohibition sign. do not enter sign. stop sign. red circular sign.,0.22,0.22,1,0.2401,"[166.71881103515625, 734.8898315429688, 363.7007141113281, 857.8687744140625]",1
frame_0013.png,extras,basketball,basketball,basketball.,0.18,0.18,0,0.0,,0
frame_0013.png,extras,basketball,orange basketball,orange basketball.,0.18,0.18,0,0.0,,0
frame_0013.png,extras,basketball,round orange ball,round orange ball.,0.18,0.18,1,0.7186,"[1149.5609130859375, 1648.7044677734375, 1691.3988037109375, 1854.460693359375]",1
frame_0013.png,extras,basketball,rubber ball on ground,rubber ball on ground.,0.18,0.18,2,0.6127,"[1144.312744140625, 1640.6341552734375, 1694.5738525390625, 1852.1878662109375]",1
frame_0013.png,extras,basketball,sports ball,sports ball.,0.18,0.18,1,0.2389,"[1156.2767333984375, 1658.9903564453125, 1691.1031494140625, 1857.025634765625]",1
frame_0013.png,extras,basketball,ball,ball.,0.18,0.18,1,0.182,"[1155.948974609375, 1658.778076171875, 1692.0308837890625, 1856.5621337890625]",1
frame_0013.png,extras,umbrella,umbrella,umbrella.,0.2,0.2,4,0.3074,"[0.993812084197998, 1740.6817626953125, 444.7577209472656, 1856.5657958984375]",1
frame_0013.png,extras,umbrella,outdoor umbrella,outdoor umbrella.,0.2,0.2,0,0.0,,0
frame_0013.png,extras,umbrella,patio umbrella,patio umbrella.,0.2,0.2,0,0.0,,0
frame_0013.png,extras,umbrella,open umbrella,open umbrella.,0.2,0.2,6,0.3124,"[1152.9766845703125, 1651.505126953125, 1692.5634765625, 1854.013916015625]",1
frame_0013.png,extras,umbrella,parasol,parasol.,0.2,0.2,0,0.0,,0
frame_0013.png,extras,umbrella,shade umbrella,shade umbrella.,0.2,0.2,3,0.3207,"[1.8619680404663086, 1738.5279541015625, 445.5469665527344, 1854.9664306640625]",1
frame_0013.png,extras,umbrella,folded umbrella,folded umbrella.,0.2,0.2,4,0.3386,"[1.2525057792663574, 1739.03955078125, 445.42822265625, 1854.7088623046875]",1
frame_0013.png,extras,electric_wheelchair,electric wheelchair,electric wheelchair.,0.2,0.2,0,0.0,,0
frame_0013.png,extras,electric_wheelchair,motorized wheelchair,motorized wheelchair.,0.2,0.2,2,0.3677,"[112.5824203491211, 891.4898071289062, 259.3585205078125, 1014.7275390625]",1
frame_0013.png,extras,electric_wheelchair,power wheelchair,power wheelchair.,0.2,0.2,1,0.2214,"[111.90448760986328, 892.7283325195312, 256.52471923828125, 1014.1015014648438]",1
