image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0001.png,production,large power bank,ALL_GROUP,large power bank. portable power station. battery pack. power bank.,0.28,0.28,0,0.0,,0
frame_0001.png,production,door,ALL_GROUP,door. doors. dark door. elevator sliding door. sliding door.,0.26,0.26,4,0.302,"[1030.2867431640625, 806.493408203125, 1221.445556640625, 981.1773071289062]",1
frame_0001.png,production,electric vehicle,ALL_GROUP,electric vehicle. small electric vehicle. mobility scooter. scooter.,0.28,0.28,0,0.0,,0
frame_0001.png,extras,bench,bench,bench.,0.2,0.2,3,0.2605,"[1.5698862075805664, 1739.2784423828125, 442.64398193359375, 1856.98388671875]",1
frame_0001.png,extras,bench,metal bench,metal bench.,0.2,0.2,1,0.524,"[1363.455810546875, 836.6856079101562, 1532.1553955078125, 1082.302490234375]",1
frame_0001.png,extras,bench,waiting bench,waiting bench.,0.2,0.2,2,0.3956,"[1364.3017578125, 837.458740234375, 1531.5377197265625, 1082.4093017578125]",1
frame_0001.png,extras,bench,long bench,long bench.,0.2,0.2,5,0.342,"[2260.314208984375, 1672.360595703125, 2878.190673828125, 1853.62939453125]",1
frame_0001.png,extras,bench,indoor bench,indoor bench.,0.2,0.2,4,0.3302,"[1366.4815673828125, 838.774169921875, 1529.5433349609375, 1079.160400390625]",1
frame_0001.png,extras,cardboard box,cardboard box,cardboard box.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,cardboard box,brown cardboard box,brown cardboard box.,0.2,0.2,2,0.3774,"[1535.853271484375, 6.023331165313721, 2603.609375, 1245.0635986328125]",1
frame_0001.png,extras,cardboard box,shipping box,shipping box.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,cardboard box,package box,package box.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,cardboard box,stacked box,stacked box.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,cardboard box,box,box.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,chair,chair,chair.,0.2,0.2,11,0.5301,"[1365.7591552734375, 839.8430786132812, 1529.0565185546875, 1079.6739501953125]",1
frame_0001.png,extras,chair,armless chair,armless chair.,0.2,0.2,5,0.3549,"[1361.9974365234375, 836.6041259765625, 1532.5533447265625, 1083.063232421875]",1
frame_0001.png,extras,chair,office chair,office chair.,0.2,0.2,20,0.654,"[1365.278076171875, 838.693115234375, 1530.375732421875, 1081.1439208984375]",1
frame_0001.png,extras,chair,swivel chair,swivel chair.,0.2,0.2,4,0.3475,"[1360.9847412109375, 836.2075805664062, 1533.068603515625, 1084.008544921875]",1
frame_0001.png,extras,chair,rolling chair,rolling chair.,0.2,0.2,11,0.5294,"[1363.938720703125, 837.5464477539062, 1531.127685546875, 1082.6318359375]",1
frame_0001.png,extras,chair,stool chair,stool chair.,0.2,0.2,23,0.5869,"[1365.190185546875, 839.0316162109375, 1529.6595458984375, 1080.569580078125]",1
frame_0001.png,extras,door,door,door.,0.2,0.2,9,0.2646,"[2520.10791015625, 383.35345458984375, 2701.4541015625, 1130.8760986328125]",1
frame_0001.png,extras,door,dark door surface,dark door surface.,0.2,0.2,3,0.3929,"[2442.02587890625, 145.3063507080078, 2715.990234375, 1136.8953857421875]",1
frame_0001.png,extras,door,wooden door,wooden door.,0.2,0.2,6,0.2648,"[2518.43896484375, 381.78375244140625, 2703.987060546875, 1131.8973388671875]",1
frame_0001.png,extras,door,closed door,closed door.,0.2,0.2,6,0.2978,"[2517.27978515625, 380.51385498046875, 2704.365966796875, 1133.035888671875]",1
frame_0001.png,extras,door,interior door,interior door.,0.2,0.2,10,0.3095,"[2519.0400390625, 382.5427551269531, 2702.454833984375, 1131.8782958984375]",1
frame_0001.png,extras,electric vehicle,electric vehicle,electric vehicle.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,electric vehicle,small electric vehicle,small electric vehicle.,0.2,0.2,2,0.5166,"[1147.7357177734375, 1645.13525390625, 1694.754638671875, 1855.1964111328125]",1
frame_0001.png,extras,electric vehicle,electric cart,electric cart.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,electric vehicle,small electric cart,small electric cart.,0.2,0.2,2,0.5703,"[1360.2142333984375, 835.374267578125, 1535.271728515625, 1085.3724365234375]",1
frame_0001.png,extras,electric vehicle,compact electric car,compact electric car.,0.2,0.2,4,0.4088,"[1150.7264404296875, 1651.2449951171875, 1694.662109375, 1855.057861328125]",1
frame_0001.png,extras,electric vehicle,indoor electric vehicle,indoor electric vehicle.,0.2,0.2,2,0.4891,"[5.231637954711914, 4.604651927947998, 2875.283203125, 1851.88671875]",1
frame_0001.png,extras,electric vehicle,robot platform,robot platform.,0.2,0.2,6,0.4576,"[1396.91845703125, 839.3449096679688, 1671.9949951171875, 1087.793701171875]",1
frame_0001.png,extras,large power bank,large power bank,large power bank.,0.18,0.18,5,0.4201,"[1471.5218505859375, 5.76285457611084, 2861.753662109375, 1248.483154296875]",1
frame_0001.png,extras,large power bank,portable power bank battery,portable power bank battery.,0.18,0.18,3,0.2482,"[1039.736083984375, 960.57666015625, 1080.5648193359375, 992.7973022460938]",1
frame_0001.png,extras,large power bank,power bank,power bank.,0.18,0.18,4,0.3282,"[1517.248291015625, 2.2281575202941895, 2867.638427734375, 1244.2244873046875]",1
frame_0001.png,extras,large power bank,battery pack,battery pack.,0.18,0.18,0,0.0,,0
frame_0001.png,extras,large power bank,large battery,large battery.,0.18,0.18,4,0.2204,"[1039.8380126953125, 960.6884155273438, 1080.457275390625, 992.1846313476562]",1
frame_0001.png,extras,large power bank,portable battery,portable battery.,0.18,0.18,2,0.259,"[1040.4710693359375, 961.3017578125, 1080.1285400390625, 992.0507202148438]",1
frame_0001.png,extras,large power bank,rectangular battery box,rectangular battery box.,0.18,0.18,4,0.2112,"[1307.8074951171875, 892.3743896484375, 1336.6307373046875, 914.8851928710938]",1
frame_0001.png,extras,meeting table set,meeting table set,meeting table set.,0.2,0.2,4,0.4892,"[124.4060287475586, 875.48095703125, 400.16412353515625, 1031.6728515625]",1
frame_0001.png,extras,meeting table set,large meeting table,large meeting table.,0.2,0.2,3,0.4323,"[1401.8665771484375, 832.8593139648438, 1674.694580078125, 1085.2552490234375]",1
frame_0001.png,extras,meeting table set,conference table,conference table.,0.2,0.2,4,0.5593,"[172.5185089111328, 888.4485473632812, 396.934326171875, 1023.996337890625]",1
frame_0001.png,extras,meeting table set,long table with chairs,long table with chairs.,0.2,0.2,4,0.3846,"[131.29820251464844, 872.7742919921875, 403.1789245605469, 1032.1002197265625]",1
frame_0001.png,extras,meeting table set,office meeting table,office meeting table.,0.2,0.2,5,0.528,"[170.76368713378906, 886.6421508789062, 397.4591369628906, 1025.3411865234375]",1
frame_0001.png,extras,meeting table set,long rectangular table,long rectangular table.,0.2,0.2,3,0.4273,"[474.16082763671875, 860.1309814453125, 875.2203369140625, 1063.0350341796875]",1
frame_0001.png,extras,plant pot,plant pot,plant pot.,0.2,0.2,1,0.2028,"[1163.159423828125, 882.9747314453125, 1184.9547119140625, 979.1255493164062]",1
frame_0001.png,extras,plant pot,potted plant in plastic pot,potted plant in plastic pot.,0.2,0.2,3,0.41,"[1154.5733642578125, 873.7366943359375, 1196.4661865234375, 987.65380859375]",1
frame_0001.png,extras,plant pot,potted plant,potted plant.,0.2,0.2,2,0.2289,"[909.1442260742188, 953.52880859375, 940.5296020507812, 991.4382934570312]",1
frame_0001.png,extras,plant pot,indoor potted plant,indoor potted plant.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,plant pot,flower pot,flower pot.,0.2,0.2,2,0.2199,"[909.8814086914062, 956.8768920898438, 939.902099609375, 991.1992797851562]",1
frame_0001.png,extras,plant pot,plastic plant pot,plastic plant pot.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,shoes,shoes,shoes.,0.18,0.18,2,0.2461,"[1155.0931396484375, 1658.4046630859375, 1691.3980712890625, 1856.9312744140625]",1
frame_0001.png,extras,shoes,pair of indoor shoes,pair of indoor shoes.,0.18,0.18,5,0.2892,"[1149.1900634765625, 1646.365966796875, 1695.8944091796875, 1854.32470703125]",1
frame_0001.png,extras,shoes,indoor shoes,indoor shoes.,0.18,0.18,10,0.3456,"[1155.4132080078125, 1656.2747802734375, 1692.262451171875, 1856.861328125]",1
frame_0001.png,extras,shoes,pair of shoes,pair of shoes.,0.18,0.18,5,0.2724,"[1149.3631591796875, 1646.427490234375, 1694.5030517578125, 1854.9678955078125]",1
frame_0001.png,extras,shoes,sneakers,sneakers.,0.18,0.18,0,0.0,,0
frame_0001.png,extras,shoes,slippers,slippers.,0.18,0.18,0,0.0,,0
frame_0001.png,extras,shoes,shoe pair on floor,shoe pair on floor.,0.18,0.18,6,0.6172,"[10.252561569213867, 964.8992919921875, 2869.88916015625, 1848.0955810546875]",1
frame_0001.png,extras,trash bin,trash bin,trash bin.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,trash bin,indoor trash bin,indoor trash bin.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,trash bin,garbage bin,garbage bin.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,trash bin,waste bin,waste bin.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,trash bin,recycling bin,recycling bin.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,trash bin,small trash can,small trash can.,0.2,0.2,1,0.5278,"[903.5771484375, 949.8787231445312, 944.2835693359375, 995.9278564453125]",1
frame_0001.png,extras,vacuum cleaner,vacuum cleaner,vacuum cleaner.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,vacuum cleaner,upright vacuum cleaner,upright vacuum cleaner.,0.2,0.2,1,0.3813,"[1362.213134765625, 835.5029907226562, 1531.169921875, 1081.517578125]",1
frame_0001.png,extras,vacuum cleaner,stick vacuum,stick vacuum.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,vacuum cleaner,household vacuum,household vacuum.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,vacuum cleaner,robot vacuum,robot vacuum.,0.2,0.2,0,0.0,,0
frame_0001.png,extras,vacuum cleaner,cordless vacuum cleaner,cordless vacuum cleaner.,0.2,0.2,5,0.3794,"[1362.6514892578125, 836.3383178710938, 1530.1845703125, 1082.3609619140625]",1
frame_0002.png,production,meeting table set,ALL_GROUP,meeting table. conference table. table with chairs. meeting table set.,0.32,0.32,3,0.3515,"[109.92486572265625, 833.4078369140625, 882.0804443359375, 1073.8868408203125]",1
frame_0002.png,production,chair,ALL_GROUP,chair. chairs. armless chair.,0.36,0.36,6,0.46,"[118.3753433227539, 876.86865234375, 238.5337371826172, 1029.7694091796875]",1
frame_0002.png,production,bench,ALL_GROUP,bench. metal bench. waiting bench.,0.34,0.34,1,0.4743,"[1364.969970703125, 837.5848388671875, 1531.2545166015625, 1082.7864990234375]",1
frame_0002.png,production,cardboard box+plant pot+shoes,ALL_GROUP,cardboard box. brown cardboard box. cardboard package. plant pot. potted plant. flower pot. indoor plant pot. shoes. pair of shoes. footwear. black shoes.,0.3,0.3,0,0.0,,0
frame_0002.png,production,trash bin+vacuum cleaner,ALL_GROUP,trash bin. trash can. waste bin. recycling bin. row of trash bins. vacuum cleaner. upright vacuum cleaner. cordless vacuum. floor cleaner.,0.25,0.25,0,0.0,,0
frame_0002.png,production,large power bank,ALL_GROUP,large power bank. portable power station. battery pack. power bank.,0.28,0.28,0,0.0,,0
frame_0002.png,production,door,ALL_GROUP,door. doors. dark door. elevator sliding door. sliding door.,0.26,0.26,2,0.2845,"[2447.38525390625, 152.24847412109375, 2708.21533203125, 1135.2459716796875]",1
frame_0002.png,production,electric vehicle,ALL_GROUP,electric vehicle. small electric vehicle. mobility scooter. scooter.,0.28,0.28,0,0.0,,0
frame_0002.png,extras,bench,bench,bench.,0.2,0.2,3,0.2672,"[1.6565537452697754, 1739.0125732421875, 441.62249755859375, 1857.0]",1
