run_id,scenario,variant,module,n,mean_ms,p50_ms,p95_ms
20260422_221851_meeting_full-nyu-proposals,meeting,full-nyu-proposals,graph_update,307,75.06397392461228,56.31705513224006,180.67678334191442
20260422_221851_meeting_full-nyu-proposals,meeting,full-nyu-proposals,groundingdino_predict,,,,
20260422_221851_meeting_full-nyu-proposals,meeting,full-nyu-proposals,instance_gng_update,954,19.044175916117084,22.03713241033256,22.612643928732723
20260422_221851_meeting_full-nyu-proposals,meeting,full-nyu-proposals,place_gng_update,350,17.34823599790356,21.573461475782096,22.418506385292858
20260422_221851_meeting_full-nyu-proposals,meeting,full-nyu-proposals,pose_association,1003,2.296661040703891,1.220551086589694,2.30125815141946
20260422_221851_meeting_full-nyu-proposals,meeting,full-nyu-proposals,sam_predict,,,,
20260422_223827_meeting_full-nyu-proposals,meeting,full-nyu-proposals,frame_total,350,3089.761697110454,3010.566326091066,3892.0575908268806
20260422_223827_meeting_full-nyu-proposals,meeting,full-nyu-proposals,graph_update,333,87.7793002335282,78.18858721293509,205.881462758407
20260422_223827_meeting_full-nyu-proposals,meeting,full-nyu-proposals,groundingdino_predict,,,,
20260422_223827_meeting_full-nyu-proposals,meeting,full-nyu-proposals,instance_gng_update,1115,19.701934138087413,22.08433300256729,22.64751079492271
20260422_223827_meeting_full-nyu-proposals,meeting,full-nyu-proposals,place_gng_update,350,17.905537514681264,21.645494387485087,22.366835654247552
20260422_223827_meeting_full-nyu-proposals,meeting,full-nyu-proposals,pose_association,1234,3.379711109769004,1.2229235144332051,24.881913990247995
20260422_223827_meeting_full-nyu-proposals,meeting,full-nyu-proposals,sam_predict,,,,
